ID,accepteret_dansk_navn,species,wcvp_species,gbif_species
2264,Cypres-vortemælk,Euphorbia cyparissias,Euphorbia cyparissias,Euphorbia cyparissias
2265,Tand-vortemælk,Euphorbia dentata,Euphorbia dentata,Euphorbia dentata
2266,Knold-vortemælk,Euphorbia dulcis,Euphorbia dulcis,Euphorbia dulcis
2267,Forårs-vortemælk,Euphorbia epithymoides,Euphorbia epithymoides,Euphorbia epithymoides
2268,Langbladet vortemælk,Euphorbia esula,Euphorbia esula,Euphorbia esula
2269,Langbladet vortemælk (underart),Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia esula
2270,Ris-vortemælk,Euphorbia esula subsp. tommasiniana,Euphorbia tommasiniana,Euphorbia tommasiniana
2271,Liden vortemælk,Euphorbia exigua,Euphorbia exigua,Euphorbia exigua
2272,Segl-vortemælk,Euphorbia falcata,Euphorbia falcata,Euphorbia falcata
2273,Skærm-vortemælk,Euphorbia helioscopia,Euphorbia helioscopia,Euphorbia helioscopia
2274,NA,Euphorbia humifusa,Euphorbia humifusa,Euphorbia humifusa
2275,Kors-vortemælk,Euphorbia lathyris,Euphorbia lathyris,Euphorbia lathyris
2276,Plet-vortemælk,Euphorbia maculata,Euphorbia maculata,Euphorbia maculata
2277,Blågrøn vortemælk,Euphorbia myrsinites,Euphorbia myrsinites,Euphorbia myrsinites
2278,Nikkende vortemælk,Euphorbia nutans,Euphorbia nutans,Euphorbia nutans
2279,NA,Euphorbia oblongata,Euphorbia oblongata,Euphorbia oblongata
2280,Strand-vortemælk,Euphorbia palustris,Euphorbia palustris,Euphorbia palustris
2281,Kyst-vortemælk,Euphorbia paralias,Euphorbia paralias,Euphorbia paralias
2282,Gaffel-vortemælk,Euphorbia peplus,Euphorbia peplus,Euphorbia peplus
2283,Bredbladet vortemælk,Euphorbia platyphyllos,Euphorbia platyphyllos,Euphorbia platyphyllos
2284,Tiltrykt vortemælk,Euphorbia prostrata,Euphorbia prostrata,Euphorbia prostrata
2285,Opret vortemælk,Euphorbia stricta,Euphorbia stricta,Euphorbia stricta
2286,NA,Euphrasia arctica,Euphrasia arctica,Euphrasia arctica
2287,NA,Euphrasia arctica subsp. borealis,Euphrasia arctica,Euphrasia arctica
2288,Nordisk øjentrøst,Euphrasia arctica subsp. minor,Euphrasia arctica,Euphrasia arctica
2289,Klit-øjentrøst,Euphrasia dunensis,Euphrasia dunensis,Euphrasia dunensis
2290,Klit-øjentrøst × kort-øjentrøst,Euphrasia dunensis × nemorosa,Euphrasia dunensis,NA
2291,Lyng-øjentrøst,Euphrasia micrantha,Euphrasia micrantha,Euphrasia micrantha
2292,Lyng-øjentrøst × kort-øjentrøst,Euphrasia micrantha × nemorosa,Euphrasia micrantha,NA
2293,Lyng-øjentrøst × spids øjentrøst,Euphrasia micrantha × stricta,Euphrasia micrantha,NA
2294,Lyng-øjentrøst × kirtel-øjentrøst,Euphrasia micrantha × stricta var. brevipila,Euphrasia micrantha,NA
2295,NA,Euphrasia micrantha var. micrantha,Euphrasia micrantha,NA
2296,Kort øjentrøst,Euphrasia nemorosa,Euphrasia nemorosa,Euphrasia nemorosa
2297,Kort-øjentrøst × kirtel-øjentrøst,Euphrasia nemorosa × stricta var. brevipila,Euphrasia nemorosa,NA
2298,Læge-øjentrøst,Euphrasia officinalis,Euphrasia officinalis,Euphrasia officinalis
2299,Læge-øjentrøst (underart),Euphrasia officinalis subsp. officinalis,Euphrasia officinalis,Euphrasia officinalis
2300,Kalk-øjentrøst,Euphrasia officinalis subsp. pratensis,Euphrasia officinalis,Euphrasia officinalis
2301,Spids øjentrøst,Euphrasia stricta,Euphrasia stricta,Euphrasia stricta
2302,Kirtel-øjentrøst,Euphrasia stricta var. brevipila,Euphrasia x vernalis,Euphrasia vernalis
2303,Spids øjentrøst (varietet),Euphrasia stricta var. stricta,Euphrasia stricta,Euphrasia stricta
2304,Svensk øjentrøst,Euphrasia stricta var. suecica,Euphrasia stricta,Euphrasia stricta
2305,Spinkel øjentrøst,Euphrasia stricta var. tenuis,Euphrasia x vernalis,Euphrasia vernalis
2306,Klaseurt,Euphrosyne xanthiifolia,Cyclachaena xanthiifolia,Cyclachaena xanthiifolia
2307,Fin næbmos,Eurhynchiastrum pulchellum,,Eurhynchiastrum pulchellum
2308,Stor næbmos,Eurhynchium angustirete,,Eurhynchium angustirete
2309,Stribet næbmos,Eurhynchium striatum,,Eurhynchium striatum
2310,Storbladet asters,Eurybia macrophylla,Eurybia macrophylla,Eurybia macrophylla
2311,NA,Eurybia schreberi,Eurybia schreberi,Eurybia schreberi
2312,NA,Eutetramorus globosus,,Eutetramorus globosus
2313,NA,Eutetramorus planctonicus,,Coenococcus planctonicus
2314,Lille kuglespidsalge,Euthora cristata,,Euthora cristata
2315,NA,Eutrochium fistulosum,Eutrochium fistulosum,Eutrochium fistulosum
2316,Rød hjortetrøst,Eutrochium purpureum,Eutrochium purpureum,Eutrochium purpureum
2317,Almindelig boghvede,Fagopyrum esculentum,Fagopyrum esculentum,Fagopyrum esculentum
2318,Tatarisk boghvede,Fagopyrum tataricum,Fagopyrum tataricum,Fagopyrum tataricum
2319,Orientalsk bøg,Fagus orientalis,Fagus orientalis,Fagus orientalis
2320,Bøg,Fagus sylvatica,Fagus sylvatica,Fagus sylvatica
2321,Seglblad,Falcaria vulgaris,Falcaria vulgaris,Falcaria vulgaris
2322,Sølvregn,Fallopia baldschuanica,Fallopia baldschuanica,Fallopia baldschuanica
2323,Snerle-pileurt,Fallopia convolvulus,Fallopia convolvulus,Fallopia convolvulus
2324,Vinge-pileurt,Fallopia dumetorum,Fallopia dumetorum,Fallopia dumetorum
2325,Gul bambus,Fargesia murieliae,Fargesia murielae,Fargesia murielae
2326,Sort bambus,Fargesia spathacea,Fargesia spathacea,Fargesia spathacea
2327,Klit-svingel,Festuca arenaria,Festuca arenaria,NA
2328,Bakke-svingel,Festuca brevipila,Festuca trachyphylla,NA
2329,Finbladet svingel,Festuca filiformis,Festuca filiformis,Festuca filiformis
2330,Bjørnegræs,Festuca gautieri,Festuca gautieri,Festuca gautieri
2331,NA,Festuca gautieri subsp. scoparia,Festuca gautieri,Festuca gautieri
2332,Forskelligbladet svingel,Festuca heterophylla,Festuca heterophylla,Festuca heterophylla
2333,Fåre-svingel,Festuca ovina,Festuca ovina,Festuca ovina
2334,Baltisk svingel,Festuca polesica,Festuca beckeri,Festuca beckeri
2335,Rød svingel,Festuca rubra,Festuca rubra,Festuca rubra
2336,Rød svingel × almindelig rajgræs,Festuca rubra × Lolium perenne,Festuca rubra,NA
2337,Vej-svingel,Festuca rubra subsp. commutata,Festuca nigrescens,NA
2338,Blågrøn svingel,Festuca rubra subsp. juncea,Festuca rubra,Festuca rubra
2339,Marsk-svingel,Festuca rubra subsp. litoralis,Festuca rubra,Festuca rubra
2340,Mangeblomstret svingel,Festuca rubra subsp. megastachys,Festuca rubra,Festuca rubra
2341,Rød svingel (underart),Festuca rubra subsp. rubra,Festuca rubra,Festuca rubra
2342,Vorterod,Ficaria verna,Ranunculus ficaria,Ficaria verna
2343,Limfjords-vorterod,Ficaria verna subsp. fertilis,Ranunculus ficaria,Ficaria ambigua
2344,Vorterod (underart),Ficaria verna subsp. verna,Ranunculus ficaria,Ficaria verna
2345,Figen,Ficus carica,Ficus carica,Ficus carica
2346,Ager-museurt,Filago arvensis,Filago arvensis,Filago arvensis
2347,Gulgrå museurt,Filago lutescens,Filago lutescens,Filago lutescens
2348,NA,Filago pyramidata,Filago pyramidata,Filago pyramidata
2349,Kugle-museurt,Filago vulgaris,Filago germanica,Filago germanica
2350,Kæmpe-mjødurt,Filipendula camtschatica,Filipendula camtschatica,Filipendula camtschatica
2351,Almindelig mjødurt,Filipendula ulmaria,Filipendula ulmaria,Filipendula ulmaria
2352,Knoldet mjødurt,Filipendula vulgaris,Filipendula vulgaris,Filipendula vulgaris
2353,Kær-rademos,Fissidens adianthoides,,Fissidens adianthoides
2354,Top-rademos,Fissidens bryoides,,Fissidens bryoides
2355,Tør rademos,Fissidens dubius,,Fissidens dubius
2356,NA,Fissidens exiguus,,Fissidens exiguus
2357,Ler-rademos,Fissidens exilis,,Fissidens exilis
2358,Sten-vandrademos,Fissidens fontanus,,Fissidens fontanus
2359,Finbladet rademos,Fissidens gracilifolius,,Fissidens gracilifolius
2360,Tørve-rademos,Fissidens osmundoides,,Fissidens osmundoides
2361,Bæk-rademos,Fissidens pusillus,,Fissidens pusillus
2362,Taksbladet rademos,Fissidens taxifolius,,Fissidens taxifolius
2363,Grønlig rademos,Fissidens viridulus,,Fissidens viridulus
2364,Fennikel,Foeniculum vulgare,Foeniculum vulgare,Foeniculum vulgare
2365,Stor kildemos,Fontinalis antipyretica,,Fontinalis antipyretica
2366,Smal kildemos,Fontinalis dalecarlica,,Fontinalis dalecarlica
2367,Bund-kildemos,Fontinalis hypnoides,,Fontinalis hypnoides
2368,Have-forsythia,Forsythia ×intermedia,Forsythia x intermedia,Forsythia intermedia
2369,Hænge-forsythia,Forsythia suspensa,Forsythia suspensa,Forsythia suspensa
2370,Netsporet klokkesvøb,Fossombronia foveolata,,Fossombronia foveolata
2371,Liden klokkesvøb,Fossombronia incurva,,Fossombronia incurva
2372,Stor klokkesvøb,Fossombronia pusilla,,Fossombronia pusilla
2373,Mark-klokkesvøb,Fossombronia wondraczekii,,Fossombronia wondraczekii
2374,NA,Fotterella tetrachlorelloides,,Fotterella tetrachlorelloides
2375,Have-jordbær × spansk jordbær,Fragaria × ananassa × moschata,Fragaria x ananassa,NA
2376,Have-jordbær,Fragaria ×ananassa,Fragaria x ananassa,Fragaria ananassa
2377,Rød pryd-jordbær,Fragaria ×rosea,x Comagaria rosea,Comagaria rosea
2378,Have-jordbær × skov-jordbær,Fragaria ×vescana,,Fragaria vescana
2379,Chile-jordbær,Fragaria chiloënsis,NA,Fragaria chiloensis
2380,Pryd-jordbær,Fragaria chiloënsis × Comarum palustre,NA,NA
2381,Chile-jordbær × skov-jordbær,Fragaria chiloënsis × vesca,NA,NA
2382,Chile-jordbær × bakke-jordbær,Fragaria chiloënsis × viridis,NA,NA
2383,Spansk jordbær,Fragaria moschata,Fragaria moschata,Fragaria moschata
2384,Spansk jordbær × skov-jordbær,Fragaria moschata × vesca,Fragaria moschata,NA
2385,Spansk jordbær × bakke-jordbær,Fragaria moschata × viridis,Fragaria moschata,NA
2386,Skov-jordbær,Fragaria vesca,Fragaria vesca,Fragaria vesca
2387,Skov-jordbær × bakke-jordbær,Fragaria vesca × viridis,Fragaria vesca,NA
2388,Skarlagen-jordbær,Fragaria virginiana,Fragaria virginiana,Fragaria virginiana
2389,Bakke-jordbær,Fragaria viridis,Fragaria viridis,Fragaria viridis
2390,NA,Franceia amphitricha,,Franceia amphitricha
2391,NA,Franceia droescheri,,Franceia droescheri
2392,NA,Franceia ovalis,,Franceia ovalis
2393,Tørst,Frangula alnus,Frangula alnus,Frangula alnus
2394,NA,Frankenia pulverulenta,Frankenia pulverulenta,Frankenia pulverulenta
2395,Ask,Fraxinus excelsior,Fraxinus excelsior,Fraxinus excelsior
2396,Manna-ask,Fraxinus ornus,Fraxinus ornus,Fraxinus ornus
2397,NA,Fraxinus sieboldiana,Fraxinus sieboldiana,Fraxinus sieboldiana
2398,NA,Fredericqia deveauniensis,,Fredericqia deveauniensis
2399,Kejserkrone,Fritillaria imperialis,Fritillaria imperialis,Fritillaria imperialis
2400,Vibeæg,Fritillaria meleagris,Fritillaria meleagris,Fritillaria meleagris
2401,Mat bronzemos,Frullania dilatata,,Frullania dilatata
2402,Skør bronzemos,Frullania fragilifolia,,Frullania fragilifolia
2403,Glinsende bronzemos,Frullania tamarisci,,Frullania tamarisci
2404,Almindelig fuchsia,Fuchsia ×hybrida,Fuchsia x standishii,Fuchsia hybrida
2405,NA,Fuertesimalva limensis,Fuertesimalva limensis,Fuertesimalva limensis
2406,NA,Fuertesimalva peruviana,Fuertesimalva peruviana,Fuertesimalva peruviana
2407,Klatrende jordrøg,Fumaria capreolata,Fumaria capreolata,Fumaria capreolata
2408,NA,Fumaria densiflora,Fumaria densiflora,Fumaria densiflora
2409,Mur-jordrøg,Fumaria muralis,Fumaria muralis,Fumaria muralis
2410,Bredbladet jordrøg,Fumaria muralis subsp. boroei,Fumaria muralis,Fumaria muralis
2411,Læge-jordrøg,Fumaria officinalis,Fumaria officinalis,Fumaria officinalis
2412,Småblomstret jordrøg,Fumaria parviflora,Fumaria parviflora,Fumaria parviflora
2413,Mørk jordrøg,Fumaria schleicheri,Fumaria schleicheri,Fumaria schleicheri
2414,Smalfliget jordrøg,Fumaria vaillantii,Fumaria vaillantii,Fumaria vaillantii
2415,Almindelig snobørste,Funaria hygrometrica,,Funaria hygrometrica
2416,Gaffeltang,Furcellaria lumbricalis,,Furcellaria lumbricalis
2417,NA,Fusola viridis,,Fusola viridis
2418,Almindelig guldstjerne,Gagea lutea,Gagea lutea,Gagea lutea
2419,Almindelig guldstjerne × eng-guldstjerne,Gagea lutea × pratensis,Gagea lutea,NA
2420,Liden guldstjerne,Gagea minima,Gagea minima,Gagea minima
2421,Eng-guldstjerne,Gagea pratensis,Gagea pratensis,Gagea pratensis
2422,Hylster-guldstjerne,Gagea spathacea,Gagea spathacea,Gagea spathacea
2423,Ager-guldstjerne,Gagea villosa,Gagea villosa,Gagea villosa
2424,Kokardeblomst,Gaillardia ×grandiflora,Gaillardia x grandiflora,Gaillardia grandiflora
2425,Kokarde,Gaillardia pulchella,Gaillardia pulchella,Gaillardia pulchella
2426,Udspærret havpryd,Gaillona gallica,,Gaillona gallica
2427,Hooker's havpryd,Gaillona hookeri,,Gaillona hookeri
2428,Rosenrød havpryd,Gaillona rosea,,Gaillona rosea
2429,NA,Gaillona seposita,,Gaillona seposita
2430,NA,Galanthus ×valentinei,Galanthus x valentinei,Galanthus valentinei
2431,Tyrkisk vintergæk,Galanthus elwesii,Galanthus elwesii,Galanthus elwesii
2432,Vintergæk,Galanthus nivalis,Galanthus nivalis,Galanthus nivalis
2433,NA,Galanthus nivalis f. pleniflorus,Galanthus nivalis,Galanthus nivalis
2434,Foldet vintergæk,Galanthus plicatus,Galanthus plicatus,Galanthus plicatus
2435,Kaukasisk vintergæk,Galanthus woronowii,Galanthus woronowii,Galanthus woronowii
2436,NA,Galax urceolata,Galax urceolata,Galax urceolata
2437,Læge-stregbælg,Galega officinalis,Galega officinalis,Galega officinalis
2438,Blå stregbælg,Galega orientalis,Galega orientalis,Galega orientalis
2439,Smalbladet hanekro,Galeopsis angustifolia,Galeopsis angustifolia,Galeopsis angustifolia
2440,Skov-hanekro,Galeopsis bifida,Galeopsis bifida,Galeopsis bifida
2441,Skov-hanekro × almindelig hanekro,Galeopsis bifida × tetrahit,Galeopsis bifida,NA
2442,Sand-hanekro,Galeopsis ladanum,Galeopsis ladanum,Galeopsis ladanum
2443,Dunet hanekro,Galeopsis pubescens,Galeopsis pubescens,Galeopsis pubescens
2444,Gul hanekro,Galeopsis segetum,Galeopsis segetum,Galeopsis segetum
2445,Hamp-hanekro,Galeopsis speciosa,Galeopsis speciosa,Galeopsis speciosa
2446,Almindelig hanekro,Galeopsis tetrahit,Galeopsis tetrahit,Galeopsis tetrahit
2447,Håret kortstråle,Galinsoga parviflora,Galinsoga parviflora,Galinsoga parviflora
2448,Kirtel-kortstråle,Galinsoga quadriradiata,Galinsoga quadriradiata,Galinsoga quadriradiata
2449,Burre-snerre,Galium aparine,Galium aparine,Galium aparine
2450,NA,Galium aparine var. marinum,Galium aparine,Galium aparine
2451,Trenervet snerre,Galium boreale,Galium boreale,Galium boreale
2452,Blågrøn snerre,Galium glaucum,Galium glaucum,Galium glaucum
2453,Hvid snerre,Galium mollugo,Galium mollugo,Galium mollugo
2454,Smalbladet snerre,Galium mollugo subsp. erectum,Galium album,NA
2455,Hvidgul snerre,Galium mollugo subsp. erectum × verum,Galium album,NA
2456,Almindelig snerre,Galium mollugo subsp. mollugo,Galium mollugo,Galium mollugo
2457,Bredbladet snerre,Galium mollugo var. elatum,Galium mollugo,Galium mollugo
2458,Mur-snerre,Galium murale,Galium murale,Galium murale
2459,Skovmærke,Galium odoratum,Galium odoratum,Galium odoratum
2460,Kær-snerre,Galium palustre,Galium palustre,Galium palustre
2461,Vand-snerre,Galium palustre subsp. elongatum,Galium elongatum,Galium elongatum
2462,Kær-snerre (underart),Galium palustre subsp. palustre,Galium palustre,NA
2463,Pariser-snerre,Galium parisiense,Galium parisiense,Galium parisiense
2464,Park-snerre,Galium pumilum,Galium pumilum,Galium pumilum
2465,Rundbladet snerre,Galium rotundifolium,Galium rotundifolium,Galium rotundifolium
2466,Lyng-snerre,Galium saxatile,Galium saxatile,Galium saxatile
2467,Hør-snerre,Galium spurium,Galium spurium,Galium spurium
2468,Hør-snerre (underart),Galium spurium subsp. spurium,Galium spurium,Galium spurium
2469,Grønblomstret snerre,Galium spurium subsp. vaillantii,Galium spurium,Galium spurium
2470,Liden snerre,Galium sterneri,Galium sterneri,Galium sterneri
2471,Skov-snerre,Galium sylvaticum,Galium sylvaticum,Galium sylvaticum
2472,Vorte-snerre,Galium tricornutum,Galium tricornutum,Galium tricornutum
2473,Sump-snerre,Galium uliginosum,Galium uliginosum,Galium uliginosum
2474,Krat-snerre,Galium valdepilosum,Galium valdepilosum,Galium valdepilosum
2475,NA,Galium valdepilosum subsp. slesvicense,Galium valdepilosum,Galium valdepilosum
2476,Gul snerre,Galium verum,Galium verum,Galium verum
2477,Gul snerre (underart),Galium verum subsp. verum,Galium verum,Galium verum
2478,Rank snerre,Galium verum subsp. wirtgenii,Galium verum,Galium verum
2479,Sommerhyacint,Galtonia candicans,Ornithogalum candicans,Ornithogalum candicans
2480,NA,Garhadiolus hedypnois,Garhadiolus hedypnois,Garhadiolus hedypnois
2481,Gniddergræs,Gastridium ventricosum,Gastridium ventricosum,Gastridium ventricosum
2482,Akshavre,Gaudinia fragilis,Gaudinia fragilis,Gaudinia fragilis
2483,Sommersalat,Gayralia oxysperma,,Gayralia oxysperma
2484,Engelsk visse,Genista anglica,Genista anglica,Genista anglica
2485,Tysk visse,Genista germanica,Genista germanica,Genista germanica
2486,Håret visse,Genista pilosa,Genista pilosa,Genista pilosa
2487,Farve-visse,Genista tinctoria,Genista tinctoria,Genista tinctoria
2488,Stor farve-visse,Genista tinctoria subsp. elatior,Genista tinctoria,Genista tinctoria
2489,Farve-visse (underart),Genista tinctoria subsp. tinctoria,Genista tinctoria,Genista tinctoria
2490,Sne-ensian,Gentiana nivalis,Gentiana nivalis,Gentiana nivalis
2491,Klokke-ensian,Gentiana pneumonanthe,Gentiana pneumonanthe,Gentiana pneumonanthe
2492,Smalbægret ensian,Gentianella amarella,Gentianella amarella,Gentianella amarella
2493,Bredbægret ensian,Gentianella campestris,Gentianella campestris,Gentianella campestris
2494,Baltisk ensian,Gentianella campestris subsp. baltica,Gentianella campestris,Gentianella campestris
2495,Bredbægret ensian (varietet),Gentianella campestris var. campestris,Gentianella campestris,Gentianella campestris
2496,Tidlig bredbægret ensian,Gentianella campestris var. suecica,Gentianella campestris,Gentianella campestris
2497,Eng-ensian,Gentianella uliginosa,Gentianella amarella,Gentianella uliginosa
2498,Krydret posemos,Geocalyx graveolens,,Geocalyx graveolens
2499,Hybrid-storkenæb,Geranium ×magnificum,Geranium x magnificum,Geranium magnificum
2500,NA,Geranium ×oxonianum,Geranium x oxonianum,Geranium oxonianum
2501,NA,Geranium bohemicum,Geranium bohemicum,Geranium bohemicum
2502,Amerikansk storkenæb,Geranium carolinianum,Geranium carolinianum,Geranium carolinianum
2503,NA,Geranium collinum,Geranium collinum,Geranium collinum
2504,Storbægret storkenæb,Geranium columbinum,Geranium columbinum,Geranium columbinum
2505,Kløftet storkenæb,Geranium dissectum,Geranium dissectum,Geranium dissectum
2506,Spansk storkenæb,Geranium endressii,Geranium endressii,Geranium endressii
2507,Pragt-storkenæb,Geranium himalayense,Geranium himalayense,Geranium himalayense
2508,Iberisk storkenæb,Geranium ibericum,Geranium ibericum,Geranium ibericum
2509,NA,Geranium lanuginosum,Geranium lanuginosum,Geranium lanuginosum
2510,Skinnende storkenæb,Geranium lucidum,Geranium lucidum,Geranium lucidum
2511,Storrodet storkenæb,Geranium macrorrhizum,Geranium macrorrhizum,Geranium macrorrhizum
2512,Blød storkenæb,Geranium molle,Geranium molle,Geranium molle
2513,NA,Geranium molle var. aequale,Geranium aequale,Geranium aequale
2514,Knudret storkenæb,Geranium nodosum,Geranium nodosum,Geranium nodosum
2515,Kær-storkenæb,Geranium palustre,Geranium palustre,Geranium palustre
2516,Bølgekronet storkenæb,Geranium phaeum,Geranium phaeum,Geranium phaeum
2517,Eng-storkenæb,Geranium pratense,Geranium pratense,Geranium pratense
2518,Purpur-storkenæb,Geranium purpureum,Geranium purpureum,Geranium purpureum
2519,Liden storkenæb,Geranium pusillum,Geranium pusillum,Geranium pusillum
2520,Pyrenæisk storkenæb,Geranium pyrenaicum,Geranium pyrenaicum,Geranium pyrenaicum
2521,Stinkende storkenæb,Geranium robertianum,Geranium robertianum,Geranium robertianum
2522,Stinkende storkenæb (varietet),Geranium robertianum var. robertianum,Geranium robertianum,Geranium robertianum
