family,genus,species,N
Asteraceae,Jacobaea,Jacobaea vulgaris,25326
Campanulaceae,Jasione,Jasione montana,22673
Juncaceae,Juncus,Juncus acutiflorus,381
Juncaceae,Juncus,Juncus alpinoarticulatus,103
Juncaceae,Juncus,Juncus articulatus,59149
Juncaceae,Juncus,Juncus balticus,1052
Juncaceae,Juncus,Juncus bufonius,8339
Juncaceae,Juncus,Juncus bulbosus,8538
Juncaceae,Juncus,Juncus capitatus,55
Juncaceae,Juncus,Juncus compressus,3118
Juncaceae,Juncus,Juncus conglomeratus,28416
Juncaceae,Juncus,Juncus effusus,168086
Juncaceae,Juncus,Juncus filiformis,5601
Juncaceae,Juncus,Juncus gerardi,36070
Juncaceae,Juncus,Juncus inflexus,4836
Juncaceae,Juncus,Juncus maritimus,1070
Juncaceae,Juncus,Juncus minutulus,155
Juncaceae,Juncus,Juncus pygmaeus,32
Juncaceae,Juncus,Juncus ranarius,502
Juncaceae,Juncus,Juncus squarrosus,9502
Juncaceae,Juncus,Juncus subnodulosus,9412
Cupressaceae,Juniperus,Juniperus communis,27717
Caprifoliaceae,Knautia,Knautia arvensis,29577
Poaceae,Koeleria,Koeleria glauca,874
Poaceae,Koeleria,Koeleria pyramidata,521
Asteraceae,Mycelis,Mycelis muralis,4230
Lamiaceae,Lamium,Lamium galeobdolon,8454
Asteraceae,Lapsana,Lapsana communis,6481
Apiaceae,Laserpitium,Laserpitium latifolium,27
Orobanchaceae,Lathraea,Lathraea squamaria,472
Fabaceae,Lathyrus,Lathyrus japonicus,3904
Fabaceae,Lathyrus,Lathyrus linifolius,8668
Fabaceae,Lathyrus,Lathyrus niger,75
Fabaceae,Lathyrus,Lathyrus palustris,771
Fabaceae,Lathyrus,Lathyrus pratensis,30472
Fabaceae,Lathyrus,Lathyrus sphaericus,108
Fabaceae,Lathyrus,Lathyrus sylvestris,1147
Fabaceae,Lathyrus,Lathyrus vernus,200
Poaceae,Leersia,Leersia oryzoides,1
Araceae,Lemna,Lemna gibba,900
Araceae,Lemna,Lemna minor,50957
Araceae,Lemna,Lemna trisulca,15057
Asteraceae,Leontodon,Leontodon hispidus,1259
Asteraceae,Leucanthemum,Leucanthemum vulgare,11872
Poaceae,Leymus,Leymus arenarius,10243
Apiaceae,Ligusticum,Ligusticum scothicum,55
Plumbaginaceae,Limonium,Limonium humile,323
Plumbaginaceae,Limonium,Limonium vulgare,2711
Scrophulariaceae,Limosella,Limosella aquatica,26
Plantaginaceae,Linaria,Linaria vulgaris,16513
Caprifoliaceae,Linnaea,Linnaea borealis,162
